"cntry","happy","health","brncntr","gndr","agea"
"AT",8,3,"Nacido en el país","Hombre",65
"AT",9,2,"Nacido en el país","Mujer",21
"AT",9,1,"Nacido en el país","Mujer",53
"AT",7,3,"No nacido en el país","Mujer",78
"AT",9,2,"Nacido en el país","Hombre",64
"AT",8,1,"No nacido en el país","Mujer",59
"AT",7,2,"Nacido en el país","Mujer",77
"AT",8,2,"Nacido en el país","Mujer",69
"AT",8,2,"Nacido en el país","Mujer",52
"AT",7,2,"Nacido en el país","Mujer",75
"AT",8,2,"Nacido en el país","Mujer",44
"AT",5,2,"No nacido en el país","Hombre",49
"AT",7,2,"Nacido en el país","Mujer",63
"AT",8,3,"Nacido en el país","Mujer",76
"AT",5,3,"Nacido en el país","Mujer",30
"AT",9,1,"Nacido en el país","Mujer",67
"AT",10,1,"Nacido en el país","Hombre",41
"AT",8,2,"Nacido en el país","Mujer",82
"AT",8,1,"Nacido en el país","Hombre",26
"AT",5,2,"No nacido en el país","Hombre",42
"AT",8,2,"Nacido en el país","Mujer",85
"AT",7,2,"Nacido en el país","Hombre",72
"AT",5,1,"Nacido en el país","Hombre",31
"AT",8,1,"Nacido en el país","Hombre",47
"AT",8,1,"Nacido en el país","Mujer",50
"AT",8,3,"Nacido en el país","Mujer",60
"AT",8,2,"Nacido en el país","Mujer",43
"AT",8,2,"Nacido en el país","Mujer",41
"AT",7,1,"Nacido en el país","Mujer",35
"AT",8,3,"Nacido en el país","Mujer",49
"AT",8,2,"Nacido en el país","Mujer",36
"AT",7,1,"Nacido en el país","Hombre",46
"AT",9,1,"Nacido en el país","Mujer",81
"AT",7,2,"Nacido en el país","Mujer",57
"AT",9,3,"Nacido en el país","Mujer",67
"AT",10,2,"Nacido en el país","Mujer",38
"AT",9,2,"No nacido en el país","Mujer",42
"AT",9,1,"Nacido en el país","Mujer",59
"AT",7,3,"Nacido en el país","Hombre",77
"AT",7,2,"Nacido en el país","Hombre",58
"AT",8,3,"Nacido en el país","Mujer",38
"AT",9,2,"Nacido en el país","Mujer",79
"AT",8,1,"Nacido en el país","Mujer",25
"AT",9,1,"Nacido en el país","Mujer",34
"AT",8,2,"No nacido en el país","Hombre",74
